issue,has_embedding
Should the government put restrictions on the maximum amount of money people can earn in order to reduce inequality?,True
Should all children in the UK be taught to play a musical instrument?,True
Should the state provide free childcare?,True
Should parents be fined if their children fail to attend school?,True
Is it ethical for a person to live in a way that harms the environment?,True
Should parents be allowed to give babies away without the approval of a judge?,True
Will we ever solve climate change?,True
Should we reduce the voting age to 16?,True
Should all schools be forced to have a uniform policy?,True
Should voting be compulsory?,True
Should the UK allow foreign companies to build 5G networks in the UK?,True
Do the benefits of fracking outweigh the environmental risks?,True
Should we require that all drugs be tested before they are licensed to ensure they are safe?,True
Should we ban the production of all types of electric cars?,True
Is a carbon tax the best way to deal with climate change?,True
Should we make all single-use drink containers biodegradable?,True
Should the UK's ties to Europe be stronger or weaker?,True
Should the government spend more money on building new hospitals?,True
Are there limits to how much tax people should have to pay?,True
Should the government allow large supermarket chains to expand their retail footprint?,True
Should we require people to wear face masks?,True
Should we implement a four-day workweek?,True
Should we stop teaching history because it glorifies people and nations who did bad things?,True
Is it okay for parents to send their kids to private school?,True
Do we need more nuclear power plants?,True
Should we accept foreign exchange students to attend state schools?,True
Should we renationalise the electricity network?,True
Does the UK need a space programme?,True
Should the UK continue to subsidise fossil fuel industries?,True
Should the UK keep the pound or should it join the Euro?,True
Should the government ban the use of animals in research?,True
Should we prohibit mobile phones from being used in cars?,True
Should it be compulsory to vote in local elections?,True
Are the benefits of Brexit going to outweigh the costs?,True
Do we have a responsibility to act to prevent future pandemics?,True
Should we require that people who have pets sterilize them before adopting them?,True
Should the government intervene to help businesses or the self-employed who are in debt because of a change in trading circumstances caused by the Covid-19 virus outbreak?,True
Should the UK have a minimum wage?,True
Should the government increase the taxes on carbon?,True
Should the UK government make more use of artificial intelligence to detect fraud in the welfare system?,True
Should the UK pay its fair share to help poorer countries reduce poverty?,True
Should everyone receive a basic income?,True
Should we ban smoking in all public places?,True
Should we subsidize renewable energy companies to increase their production?,True
Should we be encouraging more immigration to the UK?,True
Should we make access to university free for all students?,True
Should there be a universal basic income (UBI)?,True
Should we ban the breeding of animals for the meat industry?,True
Should we have a special tax for unhealthy food?,True
Should the government subsidise the arts?,True
Should all companies in the UK be required to report on the gender pay gap?,True
Should we make it mandatory to recycle?,True
"Is the smoking ban in pubs, bars, and restaurants a good thing?",True
Should we reduce the age at which children are allowed to drink alcohol?,True
Should we allow some of the land owned by the royal family to be sold off?,True
Should we adopt a universal basic income?,True
Is it a good idea to allow private companies to run prisons?,True
Is the UK's approach to the EU right or wrong?,True
Is the UK's departure from the EU a good thing for the country?,True
Should we use public funds to provide free childcare?,True
Is there a role for a minimum wage?,True
Should there be a higher tax on sugar in food and drinks?,True
Do we need to change the law to regulate the spread of fake news?,True
Should the UK adopt a universal basic income?,True
Should companies be allowed to pay employees less than minimum wage as long as the company provides them with subsidized meals and housing?,True
Should we build more houses to tackle the UK’s housing shortage?,True
Should the government of a country intervene in the affairs of another country?,True
Should the UK build a moon base?,True
Should the UK government spend money on research into space travel?,True
Do we need a sugar tax?,True
Should it be illegal to smoke in one's home?,True
Should the government increase funding to train professional musicians?,True
Should we be able to buy a car without having a license?,True
Should we impose higher taxes on the richest people?,True
Should the government use drones to monitor for criminal activity?,True
Should the police and security services be allowed to use drones to gather information?,True
Should we ban the sale of non-essential plastics?,True
Do artificial intelligence systems make fair decisions?,True
Is marijuana as harmful as alcohol?,True
Should people with more money be forced to pay more taxes?,True
Is there anything wrong with cloning animals?,True
Should we force tech companies to block pornography and gambling?,True
Would it be a good idea to make all school uniforms gender neutral?,True
Will the world ever reach a point of zero inequality?,True
Should there be a national register of the genetic codes of all the population?,True
Would it be a good idea to introduce a new higher-tier of income tax rate?,True
Should children be able to access their genomic information without the consent of their parents?,True
Should Scotland be independent?,True
Should the UK have an opt-out organ donation scheme?,True
Should the government spend more money on building more nuclear power stations?,True
Has the internet made the world a better place?,True
Is it okay to eat genetically modified foods?,True
Should the UK maintain its current levels of defence spending?,True
Should we build new nuclear power stations in the UK?,True
Should the government be making its own medicines instead of importing them?,True
Should there be a maximum price on houses?,True
Should the law require new houses to be net zero carbon?,True
Should we ban all use of insecticides and pesticides?,True
Should the government spend less on the military?,True
Is capitalism a fair and sustainable economic system?,True
Is obesity a worse health risk than alcoholism?,True
Will climate change one day make the UK too hot to live in?,True
Should it be legal to offer cash rewards for anyone who can solve the worlds biggest problems?,True
Should the right to vote be extended to children?,True
Is human population growth a good thing?,True
Should the BBC be funded by tax-payer money?,True
Should the government spend more on road repairs?,True
Do we need an independent body to audit and investigate the work of the police?,True
Should we encourage high-earning students to stay in the UK by offering them special scholarships?,True
Should people be able to vote by internet?,True
Should government ministers be allowed to use private flights?,True
Is the Universal Basic Income a good idea?,True
Should the government be able to use CCTV footage to solve crimes?,True
Should the law be changed to ban all advertisements of unhealthy foods?,True
Does the minimum wage need to be raised?,True
Is it better to have a single-party or a multi-party government?,True
Should we ban people from visiting certain websites in the UK?,True
Are there any questions that we should never allow people to discuss and to vote on?,True
Should the UK stop burning coal in order to reduce greenhouse gas emissions?,True
Should there be a national identity card for all people in the UK?,True
Are the police doing all they can to deal with the knife crime epidemic?,True
Is it okay for doctors to withhold pain medication from patients who are addicted to opioids?,True
"Does the government have the right to ban a social media group, e.g. a WhatsApp group, for spreading misinformation?",True
Is it okay to take antibiotics when you have a cold?,True
Should the monarchy have less money?,True
Is the government doing enough to tackle the climate emergency?,True
Should we ban fast food outlets from opening near schools?,True
Is it OK to drive to a nearby town rather than take a bus?,True
Should parents have the right to opt their children out of sex education?,True
Should there be stricter regulations for the food industry?,True
Should we move to a universal basic income?,True
Is the human species the most important thing in the universe?,True
Should we build a nuclear power station in the West Midlands?,True
Are most modern works of art just 'pretentious nonsense'?,True
Should the UK invest more in research into new sources of energy?,True
Would it be good to have a basic income?,True
Should people be allowed to smoke in public?,True
Is a full English breakfast better than a continental breakfast?,True
Is it good to reduce poverty in foreign countries?,True
Should the government do more to promote gender equality?,True
Should the public sector pension be a “final salary” or “career average”?,True
Should the Government help to fund the building of churches?,True
Is it ok for sports athletes to be paid money to promote products they do not use?,True
Should we introduce a maximum wage for British citizens?,True
Should we be wary of relying on algorithms to make important decisions?,True
Should the number of immigrants allowed to come to the UK each year be increased?,True
Do we need a more socially conscious form of capitalism?,True
Should all students be guaranteed a place at their closest university?,True
"Should we raise taxes on income above £250,000?",True
Should the government try to promote marriage?,True
Do we need a tax on sugary foods?,True
Will the rate of global warming eventually become catastrophic?,True
Should we have a wealth tax?,True
Do we have a right to expect a comfortable retirement?,True
Should the UK adopt a single six-year parliamentary term?,True
Should we ban plastic bags?,True
Should we ban private education?,True
Is the government spending too much on healthcare?,True
Should we ban all fracking?,True
Should employers be able to insist that employees have certain hairstyles?,True
Should cannabis be legalised for medical use?,True
Should the government invest public money in private companies?,True
Should doctors be permitted to prescribe addictive drugs to terminally ill patients?,True
Should we all be using the metric system?,True
Should we eliminate class divisions in our society?,True
Is globalisation a positive force in society?,True
Should we expand the number of coal-fired power stations in the UK?,True
Should there be free public transport in London?,True
Should companies with over 100 employees be legally obliged to report how many men vs. women they employ in each salary range?,True
Should a new medical treatment be allowed to be used if the treatment has not been sufficiently tested and has not been proven to work?,True
Should we have a second Scottish independence referendum?,True
Should the voting age be raised to 21?,True
Is a tax on meat a good way to prevent climate change?,True
Should the government compensate people for pollution caused by high emissions in their neighbourhood?,True
Should all dogs be kept on a leash when outdoors?,True
Should we take action to reduce the impact of climate change?,True
Is our global population of 7.7 billion too high?,True
Should there be a limit on the amount of money a political party can spend on a campaign?,True
"Should the Bank of England be required to target a specific level of inflation, e.g. 2%?",True
Should there be a four-day week?,True
Should the UK join the European Free Trade Area?,True
Should people have to pay more for insurance if they drive a car that is more likely to cause death or injury?,True
Should the UK break up its own royal family?,True
Are the actions of the Extinction Rebellion protestors justified?,True
Is it ethical to use artificial intelligence for purposes such as facial recognition?,True
Is the National Health Service spending enough on mental health?,True
Should the government be able to stop a parent giving their child a non-mainstream education?,True
Is the King a worthwhile role in modern society?,True
Is it okay to use animals in scientific research?,True
Should people have to pay a tax if they want to own a car?,True
Should the government subsidize the cost of wind and solar power?,True
Are there any arguments in favour of a Universal Basic Income?,True
Should we ban drugs which have side-effects of getting the user high?,True
Should we have a 'living wage'?,True
Should we provide universal basic income?,True
Should Scotland have independence?,True
Should the government fund independent newspapers?,True
Should our asylum seeking policy include an indefinite leave to remain?,True
Should we put a price on carbon?,True
Should the UK continue to fund research into stem cell research?,True
How dangerous is global warming?,True
Should we ban smoking on beaches?,True
Should we ban smoking in cars with children?,True
Should we be more ambitious in meeting our targets for the reduction of greenhouse gases?,True
"Should we have private and public education systems, or should education be just public?",True
Is the national minimum wage too low?,True
Should we ban the sale of pets?,True
Will it be possible to get rid of malaria?,True
Should public authorities use big data to predict which people are likely to commit crimes?,True
Does the UK have an over-dependence on foreign trade?,True
Should the police be able to force people to remove their face coverings?,True
Should people be allowed to smoke at outdoor eating and drinking venues?,True
Should the UK declare itself a republic?,True
Should we ban all private schools?,True
Should we ban the use of plastic in disposable containers?,True
Should we allow the sale of cannabis in the UK?,True
Is the UK doing a good job of supporting poor children in this country?,True
Should the BBC have an option to increase the licence fee to fund a new BBC News channel?,True
Should it be okay for doctors to prescribe life-ending drugs to patients with terminal illnesses?,True
Should we adopt a new system of voting in UK parliamentary elections?,True
Should we remove statues of racist historical figures from public places?,True
Should we ban the use of diesel-powered cars?,True
Should cars be banned from cities?,True
Should we raise the speed limit to 80mph on some of the motorways?,True
Should parents be required to pay for their kids' college education?,True
Is the cost of university too high for the average person?,True
Should we legalise cannabis for recreational use?,True
Are micro-aggressions always bad?,True
Should all children have a computer of their own?,True
Is it okay to build a nuclear power plant next to a village?,True
Should the UK decriminalize some currently illegal drugs?,True
Should the government raise the minimum wage?,True
"Should all adults be given a monthly allowance by the government, to be used for anything they like?",True
Should we tax people based on their carbon footprint?,True
Are people in the UK generally friendly?,True
Should the government have the right to control the internet in times of war?,True
Do we need to reduce the amount of plastic we use?,True
Should the government encourage greater investment in sustainable energy by subsidising it?,True
Will we ever achieve 'peace in our time'?,True
Is it right that the wealthiest 1% of the world’s population now has more than half of the world’s wealth?,True
Should the age at which people are allowed to drink alcohol be reduced?,True
Should we ban gambling on sport?,True
Should the government subsidize childcare?,True
Should we limit the amount of TV advertising directed at children?,True
Should we ban or restrict gambling?,True
Would it be a good idea to provide every UK citizen with free electricity for their homes?,True
Should the police have the power to arrest people without a warrant?,True
"Should doctors be allowed to prescribe placebos, if the placebo has been shown to have positive effects?",True
Should we support the creation of a single state for the whole of Ireland?,True
Should the UK Government increase the amount of money spent on foreign aid?,True
Are dogs better pets than cats?,True
Should we allow people to use self-driving cars on the roads?,True
Does the UK have a moral obligation to help developing countries?,True
Should there be a national database of all people in the UK?,True
Should we have a new public holiday to celebrate equality diversity and inclusion?,True
Should we increase the amount of government funding that goes to the National Health Service?,True
Should universities be allowed to increase tuition fees at any level they want?,True
Should we allow gene editing of humans to prevent disease?,True
Is it a good idea for the government to provide more funding to improve community mental health services?,True
Should we create a new tax to fund the NHS?,True
Should public transportation be free?,True
Should it be legal to use artificial intelligence to provide political advice to the prime minister?,True
Is it okay for parents to allow their children to drink alcohol at home?,True
Should the UK ban all plastic bags in the country?,True
Should people who are in receipt of state benefits be able to get free bus passes?,True
Should the voting age be raised to 23?,True
Should the UK have a specific national language?,True
Is it right for supermarkets to charge people for using carrier bags?,True
Should we ban football hooligans from travelling to matches abroad?,True
Should we have a border between Northern Ireland and the Republic of Ireland?,True
Should we allow fracking in the United Kingdom?,True
Should we impose a carbon tax on all fossil fuels?,True
Should the police use drones to monitor public gatherings?,True
"Should we introduce a higher tax band for people who earn more than £250,000?",True
Is it ever right to have children without wanting to raise them?,True
Should we ban all advertising of fast food on the internet and social media?,True
Should the United Kingdom stop investing in fossil fuels?,True
Should we restrict immigration into the UK?,True
Should there be legislation protecting the 'right to die'?,True
Should the government require all plastic packaging to be biodegradable?,True
Is it okay to pay for your son or daughter to have a better education than is freely available to everyone?,True
"Should companies be required to publish the salaries of employees, or at least the salaries of employees above a certain threshold?",True
Should the UK break up into separate countries?,True
Should there be a national vote on whether to build new nuclear power stations?,True
Should the UK raise taxes to reduce the size of the national debt?,True
Are the police more corrupt today than in the past?,True
Should we have an opt-out or an opt-in system for organ donation?,True
Should we put limits on the number of times a person could have access to social media in a year?,True
Are the UK’s current air quality levels acceptable?,True
Is a market economy the best system for providing people with a decent quality of life?,True
Should the government subsidize the production of low-cost food?,True
Is it time to abandon the metric system and return to the imperial system?,True
Should all UK citizens be allowed to work in the EU?,True
Should the state own utilities?,True
Is a more equal distribution of wealth a good thing in society?,True
Should we ban the sale of new petrol and diesel cars from 2030?,True
Is it okay to use your phone to take photos at the cinema?,True
Should we continue to fund coal-fired power stations?,True
Should there be a limit on how much political donations an individual can make?,True
Should the government ban all smoking in public?,True
"Should we make it easier for people to vote, for example by allowing them to vote online?",True
Should we allow the police to use facial recognition software?,True
Should we require people to recycle?,True
"Should all people in the UK be allowed to vote, regardless of age?",True
Should we restrict the sale of fireworks to licensed vendors?,True
Should we allow an organ market?,True
Should parents be able to buy their children (under the age of 18) cigarettes?,True
Should public transport be free?,True
Should the government tax unhealthy foods?,True
Should a minimum of 10% of the government's spending be spent on culture?,True
Should the government restrict which plants farmers are allowed to grow?,True
Should the voting age be lowered?,True
Is the National Health Service (NHS) a good model for providing healthcare?,True
Should we increase government spending on healthcare by 10% of GDP?,True
Will the UK ever be able to stop using fossil fuels?,True
Should everyone have to carry ID cards?,True
Should we allow terminally ill patients to import unlicensed drugs that have not been approved for use in the UK?,True
Are there any circumstances where the government should be able to ban public protests?,True
Should the government provide more funding to support UK exports?,True
Should Britain go on fighting climate change by reducing our carbon footprint?,True
Is it ethical to buy foreign produce?,True
Should we ban cars from city centres?,True
Should we pay everyone a basic income of GBP 400/month?,True
Should the police be allowed to use facial recognition technology to identify people on the street?,True
Should the UK allow more foreign skilled workers to come and work in the UK?,True
Should the UK continue to fund the BBC in the same way that it does now?,True
Should we end the ban on smoking cannabis?,True
Should we keep the monarchy?,True
Should the UK ban smoking in all public places?,True
Should we allow companies to patent new genes that are discovered?,True
Should the government ban vaping?,True
Should the government intervene to change food choices so that everyone eats healthily?,True
Does Brexit give us greater freedom?,True
Should the UK offer more tax incentives to attract foreign investment?,True
Is it okay to download pirated content from the internet?,True
Should businesses with more than 500 employees be required to publish gender pay gaps?,True
Should we allow the government to use facial recognition technology on the general public?,True
"Should the UK encourage a culture of generous tipping in restaurants and taxis, like in the US?",True
Should all people over the age of 50 be allowed to have a free driving licence check-up once a year?,True
Should all public transport services be free for everyone?,True
Should the UK be more like the United States?,True
Is it right to force people to wear face masks in public places?,True
Should we maintain the existing electoral system?,True
Should the government support cultural organisations?,True
Should the government create an 'opt-out' system of organ donation?,True
Should the royal family continue to be funded by taxpayers?,True
Should we limit the amount of junk food that can be displayed in supermarkets?,True
Should we increase the supply of housing in the UK?,True
Should the government fund child care so that both parents can work?,True
Should the UK build a new nuclear power plant?,True
Should companies be forced to put a warning on all products that contain sugar?,True
Should all new residential developments in the UK include a minimum percentage of affordable housing?,True
Does the UK really need a Royal family?,True
Should we raise the age for receiving state pension from 65 to 70?,True
Should all of the money the government spends on education be spent on people under the age of 18?,True
Will climate change be a major issue in the 2040s?,True
Should we allow prisoners the vote?,True
Should a dog have the same right to live that a human has?,True
Should private companies be allowed to use facial recognition software?,True
Should the government be able to tax individuals and companies more to pay for the cost of public services?,True
Should parents be allowed to forbid their children from using the Internet?,True
Should the government continue to invest in nuclear power?,True
Do we need to restrict the amount of foreign direct investment in the UK?,True
Should we allow parents to delay the age at which their children start school?,True
Should we ban the use of single-use plastic bags in the UK?,True
Should we celebrate the life of Sir Winston Churchill?,True
Does the United Kingdom need to be a member of the European Union?,True
Would it be a good idea to reduce the voting age to 16?,True
Should we increase the minimum wage to £15 per hour?,True
Would it be a good idea to tax the richest people in the UK?,True
Is the United Nations a good place for the UK to be in to voice our views?,True
Should parents and caregivers be legally required to tell their children whether they are also their biological parents?,True
Should we legalise marijuana?,True
Is it okay to use chimps in medical research?,True
Should the government do more to reduce greenhouse gas emissions?,True
Should we build a new runway at Heathrow Airport?,True
Should there be a higher tax on the rich?,True
Should the BBC run the World Service?,True
Is it a good idea to force everyone in the UK to stop using fossil fuels?,True
Are laws banning private education a good idea?,True
Do we need to take more steps to stop global warming?,True
Should we trust the decisions of experts on the climate change problem?,True
Should we ban the use of hand-held devices while driving?,True
Should we continue to support overseas aid?,True
Should the minimum voting age be reduced to 16?,True
Should we have a minimum voting age of 18?,True
Is it fair that people in poorer parts of the UK have access to fewer resources and opportunities than people in wealthier parts of the UK?,True
Should there be more restrictions on the rights of landlords to increase rent?,True
Should we raise the minimum age for voting to 21?,True
Should university tuition fees be abolished?,True
Should the government require every new building in the UK to be designed to be carbon-neutral?,True
Should the government try to slow down the effects of climate change?,True
Should government funding of the arts be cut?,True
"Should all citizens be required to complete a community service requirement (e.g., help in a hospital or care home) for a set number of hours per year?",True
Should parents have a say in where their child goes to school?,True
Should we increase taxation to fund increased spending on public services?,True
Should the UK and EU trade goods freely without any tariffs?,True
Will artificial intelligence eventually make many humans unemployed?,True
Should the UK government subsidise petrol prices to bring them down?,True
Should the government use your income tax to provide subsidies to people who can't afford to have children?,True
Should the UK build new nuclear power plants?,True
Should the UK ban products that have been tested on animals?,True
Do we need rules that restrict the amount of plastic packaging that supermarkets use for food products?,True
Should the BBC remain independent of government?,True
Is the National Health Service well run?,True
Should Britain become a republic?,True
Is the BBC a good thing for society?,True
Should we ban plastic cutlery in the UK?,True
Should we abolish the monarchy?,True
Should we abolish student tuition fees?,True
Is it right to cut back on pensions?,True
Are all lives created equal?,True
Should we force landlords to install insulation before renting their property to a new tenant?,True
"Should the BBC be funded by TV license fees, or should it be privately funded?",True
Should we introduce a 5% sugar tax on soft drinks?,True
Should UK universities be allowed to raise tuition fees as much as they want?,True
Should we end the monarchy and become a republic?,True
Has the UK benefited from European Union membership?,True
Is taxing the ultra-rich good for society?,True
Is the UK better off inside or outside of the European Union?,True
Is it okay to use human beings for medical experiments?,True
Should the UK government be allowed to spend taxpayer money to fund a space exploration program?,True
Should there be compulsory voting?,True
"Should we give more financial support to people who choose to be self-employed, or to people who work for employers?",True
Should we allow the creation of genetically modified babies?,True
Should there be a limit to the amount of fish people can catch for recreation?,True
Should we give a universal basic income to everyone?,True
Do we need an official 'code of conduct' for social media?,True
Should we discourage parents from having children after they are 50?,True
Should we build more road space?,True
Is it fair for the UK to receive financial aid from the EU?,True
Is the current government doing enough to improve social mobility?,True
Should we implement policies that limit the wealth that people can accumulate?,True
Should the government provide subsidies for parents to feed their children a nutritious breakfast?,True
Should we increase the availability of electric cars in the UK by requiring all petrol stations to install a minimum number of charging stations for electric cars?,True
Should the government subsidise more jobs in the construction industry?,True
Has the rise of social media been a positive development in society?,True
Should we tax people more who produce more pollution?,True
Should the UK build new nuclear power stations?,True
Are we all born with a unique purpose in life?,True
Should we change the voting age to 16?,True
Should people be able to use electronic devices on planes?,True
Should the King have to pay taxes?,True
Should we have a carbon tax to pay for investment in renewable energy?,True
Do we have an obligation to protect the world’s poor from coronavirus?,True
Should the UK government spend more money on renewable energy research?,True
Is the world facing a catastrophic loss of biodiversity?,True
Should the BBC be allowed to broadcast the same news stories in the UK as in other countries?,True
Are there some topics about which it is unreasonable to have an opinion?,True
Is the gender pay gap mainly due to discrimination?,True
Is the Royal family still a relevant part of society?,True
Should we ban the sale of petrol and diesel cars by 2030?,True
Is the United Kingdom doing enough to reduce the effects of climate change?,True
"Would the UK be better off if it had a monarchy, or if it had a President?",True
Is Brexit really a bad thing?,True
Do we really need a Royal Family?,True
Should the UK invest more in nuclear energy?,True
Should the BBC be privatised and the licence fee scrapped?,True
Should we raise the minimum wage to £12/hour?,True
Should parents have a legal right to override a decision by a medical team that the medical team has made about the medical treatment of their child?,True
Should the government spend money on preserving endangered species?,True
Should the UK government be required to reduce military spending in the next ten years?,True
Should the government make it compulsory for people with dogs to carry a doggy bag when they go on a walk?,True
Should the sale of all types of fireworks be banned?,True
Should the UK adopt a different model of military service?,True
Is it okay for people to be forced to wear a uniform to work?,True
Should we allow parents to put their newborn children up for adoption?,True
Should doctors be allowed to prescribe heroin to addicts?,True
Should the government provide subsidies to people with low-paying jobs?,True
Should people be able to sue companies for making people addicted to the products they sell?,True
Should we have a global asylum seeking policy that requires nations to take in refugees fleeing war-torn countries?,True
Should parents have the right to opt their children out of sex education in schools?,True
Is it reasonable to prosecute parents who allow their children to skip school?,True
Should people be allowed to smoke on the streets?,True
Should the age for leaving school be reduced from 18 to 16?,True
Should we require school-leavers to complete one year of military service?,True
Should we end the monarchy?,True
"Should we prosecute people who are caught using drugs that are not considered a health risk, but are not legal?",True
Should the government reduce taxes for low-income families to reduce the income gap?,True
Should we provide housing for the elderly free of charge?,True
Should the police start to use more CCTV cameras to deter criminal activity?,True
Is it right to use animals in research that can cause them harm?,True
Does banning cars in cities reduce crime?,True
Should the government ban smoking in all public places?,True
Should we legalise recreational use of marijuana?,True
Should we ban the manufacture of plastic bags?,True
Should the government provide a universal basic income?,True
Should we allow more genetically modified crops to be grown in the UK?,True
Should the government be responsible for the cost of caring for the elderly?,True
Should we tax mobile phones to help fund the NHS?,True
Should there be a tax on sugar?,True
Should we ban animal testing?,True
Is it okay to tell a white lie?,True
Should the government allow the press to publish stories that are harmful to the country?,True
"Should we change the current law that says it is illegal to download pirated movies, TV shows, music, and software?",True
Should a government guarantee every citizen access to a university education?,True
Is it possible to create a sustainable food supply?,True
"Is it fair for the government to provide subsidies for solar panels on people's homes, even if they are the most expensive option?",True
Should the government make it easier for people who are struggling to repay their student loans to pay off their debt?,True
Should we implement a special tax for petrol cars to make people buy electric cars?,True
Is democracy really better than other forms of government?,True
Is it acceptable to use animals for medical testing?,True
Is it acceptable to build houses in areas that have been hit by flooding?,True
Should all online communications be fully encrypted by default?,True
Should the government be more aggressive in its approach to global warming?,True
Does religion provide a good way of moral guidance for the world?,True
Should we lower electricity charges for people who buy electric cars?,True
Should we ban all cars from urban areas?,True
Should we ban the production of plastic packaging?,True
Is there too much focus on celebrity culture?,True
Should we impose a minimum age on social media use?,True
"Should everyone, including children, have the right to vote?",True
Are we too dependent on the car?,True
Is the National Health Service too bureaucratic and inefficient?,True
Would increasing the top rate of tax reduce UK productivity?,True
Is the human race overpopulating the earth?,True
Is it appropriate for the King to remain as head of state in a republic?,True
Should the UK invest more in renewable energy or nuclear energy?,True
Should we build more homes on agricultural land?,True
Should we have a capital gains tax?,True
Is it fair for the UK to import goods that are produced in countries with poor labour laws?,True
Has capitalism been good for humanity?,True
Should we keep using nuclear energy to generate electricity?,True
Should we give everyone a basic income?,True
Is it a good thing that humans are living longer lives?,True
Should we allow for more flexible working arrangements?,True
Is it ok to use tax-payers' money to provide free food in schools?,True
Is fracking a good way to produce energy?,True
Should the police and other government departments be required to publish all data that they gather?,True
Should universities reserve a certain number of places for students from disadvantaged backgrounds?,True
Should we have free higher education?,True
Would it be a good idea to further increase taxes for the wealthiest?,True
Should we be concerned about global warming?,True
Should employers have the right to demand that employees work on Christmas day?,True
is it OK to swear at your grandmother?,True
Should the NHS lower the price of antibiotics?,True
Is it time to introduce a nationwide ban on single-use plastic bags?,True
Should we ban all advertising that targets children?,True
Will artificial intelligence eventually be able to reproduce itself?,True
Is it okay to build a windfarm that blocks out views of a beach?,True
Is it right for the state to subsidise the arts?,True
Should the UK be a member of the EU?,True
Should there be a total ban on the sale of all fossil fuel vehicles in the UK?,True
Should the British government apologize for its colonial history?,True
Should the government support the development of wind farms in the UK?,True
Is it ever a good idea for the government to keep secrets?,True
Should schools put a ban on mobile phones?,True
Should we use nuclear energy?,True
Should there be taxes on sugar to reduce obesity?,True
Should the government have the power to censor things?,True
Should we do more to reduce traffic congestion in London?,True
Are school uniforms a good idea?,True
Should we cap rent increases in the private rental sector?,True
Should universities be allowed to set their own tuition fees?,True
Is it a good idea for the government to create a list of official 'national foods'?,True
Should the government fund more arts programmes and performances?,True
Is it OK to buy a dress you are only going to wear once?,True
Should the government provide a basic income to everyone?,True
Should the state provide universal child care for working parents?,True
"Should we promote and protect traditional cultural heritage, or embrace new influences?",True
Is it right for the government to invest in solar energy rather than coal?,True
Should all cars be banned in big cities?,True
Is the UK losing its scientific pre-eminence in the world?,True
Should the country stop importing foods from countries that use pesticides?,True
Should all government buildings be fitted with solar panels?,True
Is the UK doing enough to combat the climate crisis?,True
Is Brexit a good thing?,True
Should the British government invest in geoengineering to tackle climate change?,True
Should the UK rejoin the European Union?,True
Should we have a system of mandatory voting?,True
Should we change the system of democracy so that every voter has to vote on every issue?,True
Is it reasonable to force people to wear masks in public to reduce the spread of the COVID-19 virus?,True
Should we limit the number of times people are allowed to fly in an airplane?,True
Should religious people who believe that they have to worship on a specific day of the week be given time off from work on that day?,True
Would it be a good idea to further increase taxes for individuals?,True
Is there a 'crisis of faith' in the West?,True
Should universities be publicly funded?,True
Should there be tougher penalties for people who break the law more than once?,True
Should the government provide the public with free wifi?,True
Should we require people to have a university degree before becoming a nurse?,True
Is the Eurovision song contest a good or bad thing?,True
Should we have mandatory military service for all young people aged 18-25?,True
Should a person’s genetic code be considered private information?,True
Is it a good idea to reduce the number of nuclear submarines?,True
Should the government spend more on arts and culture?,True
Do people have a moral obligation to give a little money to charities they believe in?,True
Should we increase the salaries of teachers and doctors?,True
Is the free trade agreement with the EU a good thing?,True
Should prisoners be allowed to vote in UK elections?,True
Is a four day working week the key to the future?,True
Is it okay to kill a fox for sport?,True
Is it okay to use your cell phone while riding public transportation?,True
Is a 'sugar tax' the best way to combat childhood obesity?,True
Should more money be spent on building more railway lines?,True
Is it morally wrong to vote for a candidate because they have attractive facial features?,True
Should the government subsidise more public transport?,True
Should we increase taxes on alcohol and cigarettes?,True
Should all children in the UK receive free meals at school?,True
Should we abolish all private schools?,True
Was Boris Johnson a good prime minister?,True
Is it ethical for people to breed dogs for profit?,True
Should there be more or fewer restrictions on the movement of people across borders?,True
Do we need tighter regulation of internet companies?,True
Should the government ban certain words?,True
Should there be a maximum number of people allowed to be members of the House of Lords?,True
Has the EU been a good thing for the UK?,True
Should it be permissible to use public funds to promote religious teachings in public schools?,True
Should all couples be required to attend pre-marriage counselling?,True
Does drug use cause poverty?,True
Should there be a cap on carbon emissions?,True
Should we ban junk food advertising on TV?,True
Should we increase spending on our defence?,True
Should we lower the cost of university tuition?,True
Should we have a bank holiday to celebrate the lives of deceased monarchs?,True
Should we ban the private ownership of land?,True
Should the UK government regulate the price of bus travel?,True
Does the government need to place a greater emphasis on the health and education of young people?,True
Does the government have a legitimate interest in regulating the expression of religious beliefs?,True
Should people have to get a licence to have a dog?,True
Should we offer a tax-credit for every child that a family brings up?,True
Should it be legal to make money from the sale of genetic data?,True
Should the NHS be allowed to sell their drugs abroad at cheaper prices?,True
Should the UK allow for more or less immigration?,True
Should we have a second referendum on whether the UK should be part of the EU?,True
Is it ever okay to lie to a friend?,True
Should parents be allowed to take their children out of school for family holidays?,True
Would it be a good idea to ban the sale of cars with petrol engines?,True
Does the world's population have to rise to 12 billion before we hit the limit of what the planet can sustain?,True
Is a new runway needed at Heathrow?,True
Should we try to convince other countries to adopt the metric system?,True
Do we need a rule that bans the use of certain pesticides on lawns and gardens?,True
Should we require that all new cars sold in the UK be electric?,True
Should pornography be illegal?,True
Should we prioritize the elderly or the young when it comes to allocating NHS resources?,True
Are we doing enough to fight global warming?,True
Should the UK increase the amount of public funding it provides for the BBC?,True
Should all children study a foreign language until the age of 18?,True
Is the current minimum wage too high?,True
Is it ever okay for a person to take illegal drugs?,True
Should we require people to wear face masks at all times in public?,True
